ts_server,prolific_pid,study_id,session_id,index,total,prev_image,current_image,description_a,description_b,model_position,choice,confidence,comments,ua
2025-11-17T03:45:54.440Z,,,,6,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000092.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000093.jpg,"""The user is stationery on the left side of the room with feet visable. The robot dog is looking out of the lift door as it is opening, monitoring the environment. There are no hazards or obstructions in the pathway.""","""User and robot are inside the elevator with doors open; user is pressing a floor button, indicating progression to floor selection phase after successful entry.""",B,B,56,The lift is closing not opening (A) so B is more accurate since the user and robot are inside the elevator.,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:46:13.790Z,,,,7,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000093.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000094.jpg,"""Robot in front of the elevator doors. there's two users to the right where feet are only seen.""","""User and robot are inside the elevator with doors open; user is interacting with floor selection panel while another person stands nearby, indicating active floor selection phase after successful entry.""",B,A,70,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:46:48.994Z,,,,4,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000076.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000077.jpg,"""Elevator doors are open and the robot (with operator holding a controller) is at the threshold/partially inside. Two other people are standing in the doorway, partially blocking entry. No call or floor buttons are being pressed in this frame; the user is in the process of entering the elevator and floor selection/riding has not yet occurred. The scene is crowded at the entrance, creating a minor safety concern (potential obstruction/pinch hazard).""","""User's hands and feet are visible. They are inside an elevator, holding remote controls.""",A,Neither,87,The user's hand is visible but not the feet as described in Description B.  The user and the robot are both fully inside the elevator which is not how they are described in Description A.,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-17T03:46:54.069Z,,,,8,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000096.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000097.jpg,"""The handler is in the left hand corner of the lift, stationery with just their feet visible. The robotic dog appears to be stationery facing the lift doors, it appears to be scanning the environment, the pathway is free from hazards and obstructions. The task of getting into the lift appears to have been completed successfully.""","""Users and robot are inside the elevator with doors closed; floor selection appears complete as indicator light is on, preparing for ride phase.""",B,B,70,B is much more concise than A.,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:47:26.622Z,,,,5,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000081.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000082.jpg,"""The handler is behind the robotic dog, only feet are visable. The task appears to be entering the elevator. The robotic dog appears to be turning inside the lift, scanning the environment. The path is free from hazards and obstructions.""","""View from inside elevator: doors are open and two people are standing in the doorway/threshold partially blocking access. The operator's hand and a robot controller/device are visible inside the car. No floor button press is visible; elevator is stationary with doors open at the origin floor. Potential safety concern: people blocking the threshold and small gap at the track area.""",B,B,93,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-17T03:47:32.233Z,,,,9,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000098.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000099.jpg,"""User and robot are inside the elevator with doors closed; user appears to have completed floor selection as indicated by illuminated button; task has progressed from entry to riding phase but destination not yet reached.""","""The user is stationery on the left hand side of the robotic dog. The dog is stationery and scanning the environment. The dogs path is clear and free from hazards and obstructions. The task appears to be wait at the elevator doors, and seems to be completed.""",A,B,31,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:48:32.673Z,,,,10,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000127.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000128.jpg,"""The user is to the left hand side of the screen, appears to be stationery with only feet visable. The robot dogs task appears to be reaching the elevator doors. The Path is clear of obstructions and hazards, and the dog appears to be moving towards the doors on a misaligned path. The task of reaching the doors has not been completed.""","""User and robot are inside the elevator with doors open at the destination floor; user appears to be preparing to exit, indicating transition from riding to exiting phase.""",B,Neither,57,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:49:17.279Z,,,,11,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000148.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000149.jpg,"""Robot in the middle of the room facing the elevator. Users feet seen on left and right side of robot.""","""User and robot are inside the elevator with doors open at the destination floor; user appears to be preparing to exit, indicating progression toward the final phase of the elevator interaction task.""",B,A,94,User and robot are not inside the elevator as described in B.,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:49:25.394Z,,,,6,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000092.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000093.jpg,"""The robot and two people are inside the elevator with the doors open. Compared to prior frames (where occupants were at the threshold), users have moved fully into the cabin. A green-lit square on the control panel indicates a floor button has been pressed (floor selection appears completed). Elevator is stationary at the origin floor, ready to begin the ride. No immediate safety hazards visible; other people are present and occupy space near the walls.""","""The user is stationery on the left side of the room with feet visable. The robot dog is looking out of the lift door as it is opening, monitoring the environment. There are no hazards or obstructions in the pathway.""",A,A,87,Description A provides a more complete and accurate description.,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-17T03:50:05.135Z,,,,7,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000093.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000094.jpg,"""Robot in front of the elevator doors. there's two users to the right where feet are only seen.""","""Robot and two people are inside the elevator. The doors are nearly closed (thin light gap visible) indicating the elevator is leaving the origin floor. No floor button press is visible yet. Robot is positioned on the floor near the center/front, wires/components extend near passengers' feet — potential trip/crush hazard as doors close. Overall the user has approached, called, and entered; next step (select destination floor and ride) has not been completed.""",B,A,90,There is a floor button visible so Description B is inaccurate.,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-17T03:50:25.415Z,,,,12,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000179.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000180.jpg,"""Robot is guiding user toward elevator; user is approaching elevator with doors closed, preparing to call it. Other people are present nearby.""","""Robot is front of elevator . user is not visible. There are no obstructions in robots path.""",A,B,87,B is more accurate since A inaccurately states other people are present nearby.,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:50:52.244Z,,,,8,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000096.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000097.jpg,"""The handler is in the left hand corner of the lift, stationery with just their feet visible. The robotic dog appears to be stationery facing the lift doors, it appears to be scanning the environment, the pathway is free from hazards and obstructions. The task of getting into the lift appears to have been completed successfully.""","""Robot and two people are inside the elevator. The interior panel shows a green-lit indicator (floor selected). The robot is positioned near the center facing the doors; the doors are nearly shut/closing, indicating the elevator is about to move. Floor selection appears completed. Wires and exposed components on the robot lie on the floor, creating a potential trip / entanglement hazard in the confined elevator space. Other people are present, so maintain spacing and monitor doors while riding.""",B,A,81,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-17T03:51:16.833Z,,,,13,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000206.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000207.jpg,"""Robot is in front of elevator doors. user is standing on the front left of robot with his body visible except his head. There are no visible obstructions in robots path.""","""User and robot are positioned in front of closed elevator doors, waiting for the elevator to arrive after presumably calling it. The environment is clear with other people present but not interfering. Task is in the waiting phase before entry.""",B,B,82,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:51:25.678Z,,,,9,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000098.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000099.jpg,"""The user is stationery on the left hand side of the robotic dog. The dog is stationery and scanning the environment. The dogs path is clear and free from hazards and obstructions. The task appears to be wait at the elevator doors, and seems to be completed.""","""The robot and two people are inside the elevator. The car doors are closed (previously open) and a green indicator on the control panel suggests a floor has been selected. The group appears to be en route (elevator moving). Exposed wiring and equipment on the robot present a potential trip/hazard in the confined space; other people present may affect maneuvering.""",B,B,75,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-17T03:52:30.141Z,,,,14,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000206.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000207.jpg,"""User is standing to the left of the dog who is in front of an elevator. A laptop is visible on the left.""","""User and robot are positioned in front of closed elevator doors, waiting for the elevator to arrive after presumably calling it. The environment is clear with other people present but not interfering. Task is in the waiting phase before entry.""",B,B,84,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:52:56.066Z,,,,15,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000218.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000219.jpg,"""User is positioned at the elevator call button panel and appears to be pressing the button, while the robot is positioned nearby signaling or assisting. Elevator doors are closed, indicating the system is in the calling phase before arrival.""","""The robot is in the corner of a room/corridor with entrances to either side. The user is guiding the robot using his left hand to control it to a lift entrance. The robot is not in line with the lift door.""",A,B,86,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:53:09.015Z,,,,10,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000127.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000128.jpg,"""Robot (guide-dog platform) is now outside an open elevator with two people standing nearby. Compared with earlier frames showing the robot inside the cabin, the robot has moved out to the landing and the elevator doors are open (arrived at destination). Floor selection/call appears already completed (panel light visible earlier). Safety concerns: robot hardware and loose cables on the floor present a trip/hazard risk at the elevator threshold while people stand nearby. Task is in the exit phase, not yet fully completed.""","""The user is to the left hand side of the screen, appears to be stationery with only feet visable. The robot dogs task appears to be reaching the elevator doors. The Path is clear of obstructions and hazards, and the dog appears to be moving towards the doors on a misaligned path. The task of reaching the doors has not been completed.""",A,Neither,82,The task is not to enter the elevator as stated in Description B.  There are no loose cables on the floor as described in Description A,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-17T03:53:43.435Z,,,,11,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000148.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000149.jpg,"""Robot is positioned directly in front of the elevator doors with several people standing around. Doors are closed and no button press or floor selection is visible in this frame. Compared with the previous frame (doors partially open), the doors are now closed and the robot is at the elevator threshold ready to proceed. Cables and exposed electronics on the robot and people standing nearby present a trip/obstruction hazard; the full elevator journey (enter → select floor → ride → exit) is not complete.""","""Robot in the middle of the room facing the elevator. Users feet seen on left and right side of robot.""",A,B,88,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-17T03:54:06.898Z,,,,12,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000179.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000180.jpg,"""Robot is front of elevator . user is not visible. There are no obstructions in robots path.""","""Robot is positioned facing closed elevator doors just outside the cabin while multiple people stand nearby; no one is pressing the call or floor buttons and the group appears to be waiting for the elevator (exposed robot wiring and components present create a tripping/hazard risk).""",B,A,91,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-17T03:54:24.459Z,,,,16,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000222.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000223.jpg,"""User is pressing the elevator call button with assistance from the robot guide dog, which is positioned nearby. Elevator doors are closed, indicating the user is in the calling phase of the elevator interaction task.""","""Robot is facing wall roughly 5cm from the wall. User is gripping the robot from handle at the top of the machine.""",A,A,70,A better describes the action of the pressing the elevator button while B states less important actions like gripping the top of the machine.,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:54:30.610Z,,,,13,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000206.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000207.jpg,"""Robot is positioned facing a closed elevator door at the origin floor. Two people stand near the robot (one holding a cane/tripod) but no one is pressing the call button yet (call panel visible to the right). The scene is clear of crowds but cables and robot components on the floor present a trip hazard. Task is still in the approach phase prior to calling and entering the elevator.""","""Robot is in front of elevator doors. user is standing on the front left of robot with his body visible except his head. There are no visible obstructions in robots path.""",A,B,90,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-17T03:54:47.658Z,,,,17,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000222.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000223.jpg,"""Robot is in front  of wall next to elevator door. controls hand is only visible on top of robot. The wall is obstating the robot which is preventing it from entering the elevator door.""","""User is pressing the elevator call button with assistance from the robot guide dog, which is positioned nearby. Elevator doors are closed, indicating the user is in the calling phase of the elevator interaction task.""",B,B,68,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:55:02.978Z,,,,18,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000222.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000223.jpg,"""User is pressing the elevator call button with assistance from the robot guide dog, which is positioned nearby. Elevator doors are closed, indicating the user is in the calling phase of the elevator interaction task.""","""User and robot are right in front of the elevator door. Only user's hands are visible.""",A,A,87,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:55:04.348Z,,,,14,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000206.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000207.jpg,"""User is standing to the left of the dog who is in front of an elevator. A laptop is visible on the left.""","""Robot is positioned facing a closed elevator door at the origin floor. Two people stand near the robot (one holding a cane/tripod) but no one is pressing the call button yet (call panel visible to the right). The scene is clear of crowds but cables and robot components on the floor present a trip hazard. Task is still in the approach phase prior to calling and entering the elevator.""",B,A,82,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-17T03:55:33.741Z,,,,19,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000263.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000264.jpg,"""Robot is in elevator. Elevator doors are open. Robot is facing the side of the elevator wall. control is standing in elevator door way.""","""User and robot are positioned at the threshold of an open elevator, preparing to enter. The robot is guiding the user into the elevator car, indicating progression from waiting to entering phase.""",B,A,95,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
2025-11-17T03:55:46.375Z,,,,15,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000218.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000219.jpg,"""The robot is in the corner of a room/corridor with entrances to either side. The user is guiding the robot using his left hand to control it to a lift entrance. The robot is not in line with the lift door.""","""Robot and user are positioned directly in front of the elevator call panel. The robot (mast/camera) is oriented toward the button and the user (holding a handheld controller) appears to be interacting with or about to press the call button. Elevator doors are closed and stationary. One other person is nearby; wiring and robot components on the floor present a minor trip hazard and partially block the threshold area.""",B,A,90,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-17T03:56:06.856Z,,,,16,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000222.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000223.jpg,"""Robot is facing wall roughly 5cm from the wall. User is gripping the robot from handle at the top of the machine.""","""Robot is positioned at the elevator threshold and has approached the wall. The user (hand visible) is reaching toward/pressing the elevator call button. Elevator doors remain closed (waiting). Another person is standing nearby. Cables on the floor and a caution/fire sign are present — potential trip/slip hazards. No floor selection or entry yet; task is in the calling/waiting phase.""",B,A,91,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-17T03:56:24.202Z,,,,20,53,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000263.jpg,https://raw.githubusercontent.com/cunjunyu/RoboticGuideDogData/main/elevator-practice/000264.jpg,"""Dog is inside the elevator, with user's foot barely visible. No hazards around.""","""User and robot are positioned at the threshold of an open elevator, preparing to enter. The robot is guiding the user into the elevator car, indicating progression from waiting to entering phase.""",B,A,82,"User and robot are already in elevator, not preparing to enter as stated in B.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
